output,ground_truth,label
"['soybean, plant, field crop', 'soybean, plant, breeding']","['habit, plant, foliage, flowers', 'soybean, plant, cultivar, soybean cultivar']",0
"[96, 93, 9, 9]","[20, 1, 18, 19]",0
"[9325365.0, 9323284.0, 9479501.0]","[9479771.0, 9325365.0, 9323284.0]",1
"[None, '9320804.0', '9321092.0', '9320806.0', '9480020.0']","[29, 30, 46, 51, 70]",0
"[9479481.0, 9479480.0, 9479479.0, 9479478.0, 9479477.0, 9479476.0]","[9479476.0, 9479477.0, 9479478.0, 9479479.0, 9479480.0, 9479481.0]",1
FALSE,TRUE,0
TRUE,FALSE,0
TRUE,FALSE,0
TRUE,TRUE,1
14923,0.782633618,0
491,1002,0
9939,0.37321404,0
0,0.03536414,0
Joe Biden,Policy Officer,0
Joe Biden,Governor,0
Joe Biden,Mortgage Banker,0
Joe Biden,Program Manager,0
"['Donald Trump', 'Barack Obama', 'Joe Biden']","['Book Publisher', 'Bureau Chief', 'Publisher']",0
"['Joe Biden', 'Kamala Harris', 'Xi Jinping', 'Barack Obama']","['.Net Architect', 'Android Developer', 'Principal Engineer', 'Game Engineer']",0
"['Joe Biden', 'Donald Trump']","['Director of Athletics', 'Recruiting Coordinator', 'Athletic Coordinator', 'Director of Personnel', 'Skills Trainer']",0
"['Joe Biden', '@elonmusk']","['U.S. Senator', 'Congressman']",0
"[30308047, 30308047, 30308045]","[0.7557249985959847, 0.7413189187628788, 0.7034528053640179]",0
"[164, 164, 164, 164]","[0.1652381569664056, 0.2005428064324122, 0.2215546116855247, 0.2506791678499942]",0
"['@realDonaldTrump', '@narendramodi', '@JustinTrudeau', '@BBCNews', '@NYTimes']","[0.9794365922809228, 0.9723660656030668, 0.954299437125917, 0.9362989453985364, 0.9307917067583288]",0
"[13504, 13504]","[0.0353641396193574, 0.0355792960526332]",0
TRUE,FALSE,0
TRUE,FALSE,0
FALSE,FALSE,1
TRUE,FALSE,0
9055,18424,0
367,367,1
120,72,0
113,113,1
Radio/TV,Radio/TV,1
Skilled,Skilled,1
Existing Credits Paid Back Duly Till Now,Existing Credits Paid Back Duly Till Now,1
Less than 100 DM,Less than 100 DM,1
"['Job', ' Job', ' Job']","['Highly Skilled', 'Skilled', 'Highly Skilled']",0
"['Housewife', 'Student', 'Self Employed', 'Unemployed']","['Skilled', 'Skilled', 'Skilled', 'Unskilled - Resident']",0
"[' Job', 'Job', 'Job', 'Job', ' Job']","['Skilled', 'Skilled', 'Unskilled - Resident', 'Highly Skilled', 'Skilled']",0
"[Unskilled - Resident, Skilled]","['Highly Skilled', 'Highly Skilled']",0
"['9055', '7882', '5951']","[18424, 15945, 15857]",0
"[24, 36, 12, 48]","[72, 60, 60, 60]",0
"[2, 2, 2, 2, 2]","[4, 4, 4, 4, 4]",0
"[61, 67]","[75, 75]",0
FALSE,FALSE,1
TRUE,FALSE,0
FALSE,TRUE,0
TRUE,TRUE,1
0,0,1
0.0023,0.08465,0
18,18,1
0.2748,0.2748,1
Egg,bacon,0
 name,honey,0
 name,honey,0
grapes,beef,0
"['grapes', 'melon', 'watermelon', 'tangerine', 'lemon']","['bacon', 'peanuts', 'chocolate bar', 'popcorn', 'cookie']",0
"[' name', ' name', ' name']","['chestnut', 'pancakes', 'cheese']",0
"['0.0036', '0.0035', '0.0034', '0.0033']","['bacon', 'peanuts', 'cheese', 'popcorn']",0
"['grapes', 'melon', 'watermelon', 'tangerine', 'lemon', 'banana']","['candy', 'black tea', 'bacon', 'champagne', 'red wine', 'red apple']",0
"[0.89, 0.89, 0.89, 0.89, 0.89]","[8.98, 5.67, 5.18, 5.0, 4.97]",0
"[0.025, 0.0569, 0.062]","[0.0, 0.0, 0.0]",0
"[0.0033, 0.0032, 0.0032, 0.0031]","[0.995, 0.4924, 0.3099, 0.281]",0
"[0.0061, 0.0054, 0.0044, 0.0036, 0.003, 0.002]","[0.0, 0.0, 0.0007, 0.0007, 0.0007, 0.002]",0
TRUE,TRUE,1
FALSE,FALSE,1
FALSE,TRUE,0
FALSE,TRUE,0
0,372,0
37.42,37.42012059,1
0,10344,0
86,105,0
0,[Ciudadanos],0
The party ideas are close to my own,The party ideas are close to my own,1
PSOE,Ciudadanos,0
Castellano,Castellano,1
"['0\xa8\xc2\x9az\x7f\x00\x00', '\xb0\xa8\xc2\x9az\x7f\x00\x00', '\x7f0\x16\x8d8', '\xb0","['[Ciudadanos]', '[]', '[I am undeceided]', '[Podemos]', '[PP]']",0
"['The party ideas are close to my own', 'None', 'The party is the most competent']","['The party ideas are close to my own', 'The party is the most competent', 'I prefer not to say']",1
"[None, Ciudadanos, PP, I prefer not to say]","['Ciudadanos', 'PP', 'I prefer not to say', 'Podemos']",1
"['Castellano', 'Català', 'Galego', 'Euskara', 'English', 'German']","['Castellano', 'Catal�', 'Galego', 'Euskara']",0
"[None, 38.0, 23.0, 39.0, 25.0]","[38.0, 23.0, 39.0, 25.0, 35.0]",1
"[None, 5.0, 3.0]","[5.0, 3.0, 6.0]",1
"['None', '5.0', '3.0', '4.0']","[5.0, 3.0, 4.0, 0.0]",1
"[2.0, 3.0, 4.0, None, 1.0, 5.0]","[2.0, 3.0, 4.0, 1.0, 5.0]",1
TRUE,TRUE,1
TRUE,TRUE,1
TRUE,TRUE,1
TRUE,TRUE,1
1315,1315,1
0,799,0
0,0,1
774,774,1
45-54,65+,0
None,Donald Trump (Republican),0
High School,"Some college, no degree",0
South Atlantic,South Atlantic,1
"['CA', 'TX', 'NY', 'FL', 'GA']","['CA', 'TX', 'NY', 'FL', 'GA']",1
"['Other', 'Healthcare', 'Office worker or other professional', 'Sales']","['Other', 'Healthcare', 'Office worker or other professional', 'Industrial (e.g. construction, manufacturing, maintenance and repair)']",1
"['White (not Hispanic, Latino or Spanish origin)', 'Black or African American (not Hispanic, Latino or Spanish origin)', 'Hispanic, Latino or Spanish origin']","['White (not Hispanic, Latino or Spanish origin)', 'Black or African American (not Hispanic, Latino or Spanish origin)', 'Hispanic, Latino or Spanish origin']",1
"[65+, 45-54, 55-64, 18-24, 35-44, 25-34]","['65+', '55-64', '45-54', '35-44', '18-24', '25-34']",1
"[6037, 13121, 48201]","[6037, 13121, 48201]",1
"[9.46910161788502, 9.19590726884874, 8.95039485431436, 7.01175708748136]","[0.8085780015111617, 0.7742084493732905, 0.3063435812288158, 0.629527660735561]",0
"['1', '2', '3', '4', '5']","[1, 2, 3, 4, 5]",1
"[10.0, 11.0, None, 0.0, 1.0, 9.0]","[10.0, 11.0, 0.0, 1.0, 9.0, 5.0]",1
TRUE,FALSE,0
TRUE,TRUE,1
TRUE,TRUE,1
FALSE,TRUE,0
940,940,1
16.19912,16.19912,1
99999,549900,0
0,4237,0
,Supergarage,0
VOLKSWAGEN,VOLKSWAGEN,1
Benzina,Diésel,0
Madrid,Madrid,1
"[Madrid, Barcelona, Valencia]","['Madrid', 'Barcelona', 'Valencia']",1
"[Blanco, Gris / Plata, Negro, Azul]","['Blanco', 'Gris / Plata', 'Negro', 'Azul']",1
"['VOLKSWAGEN', 'BMW', 'MERCEDES-BENZ', 'AUDI', 'PEUGEOT']","['VOLKSWAGEN', 'BMW', 'MERCEDES-BENZ', 'AUDI', 'PEUGEOT']",1
"[None, Gasoline]","['Gas natural (CNG)', 'Gas licuado (GLP)']",0
"['2016.0', '2017.0', '2019.0', '2020.0']","[2016.0, 2017.0, 2019.0, 2020.0]",1
"['999999', '99999', '99999']","[5000000, 4000006, 3500000]",0
"['32', '47', '10', '4', '6']","[54, 54, 54, 54, 54]",0
"['CITROEN C4', 'CITROEN C4', 'CITROEN C4', 'CITROEN C4 Cactus', 'CITROEN C4 Cactus', 'CITROEN C","[800.0, 800.0, 796.0, 772.0, 720.0, 720.0]",0
FALSE,TRUE,0
FALSE,TRUE,0
FALSE,TRUE,0
FALSE,TRUE,0
94,95,0
9182,159,0
999,9684,0
0,2478,0
afternoon,morning,0
Loaf,Coffee,0
None,Adjustment,0
afternoon,morning,0
"['Cookies', 'Baguettes', 'Croissants']","['Coffee', 'Bread', 'Pastry']",0
"['Gingerbread', 'Muffin', 'Croissant', 'Fruit']","['Chicken sand', 'Gift voucher', 'Bare Popcorn', 'Raw bars']",0
"['Bread', 'Scandinavian', 'Hot chocolate', 'Coffee', 'Sandwich']","['Coffee', 'Bread', 'Tea', 'Cake', 'Pastry']",0
['item'],"['Art Tray', 'Mighty Protein', 'Mortimer', 'Vegan Mincepie']",0
"[6716, 6474, 6412, 6279]","[6474, 6716, 6279, 6412]",1
"['10', '10', '10', '8', '8']","[9680, 9681, 9682, 9683, 9684]",0
"[9513, 8328, 7329, 6936, 6730, 6240]","[6412, 6279, 6474, 6603, 6716, 6642]",0
"['2', '3']","[9683, 9684]",0
FALSE,FALSE,1
TRUE,FALSE,0
TRUE,TRUE,1
TRUE,FALSE,0
162,162,1
4.204158004,4.204158004,1
99885941,670801367,0
786,786,1
United States,United States,1
Disneyland_Paris,Disneyland_Paris,1
Oct-19,missing,0
Åland Islands,Armenia,0
"['United States', 'United Kingdom', 'Australia']","['United States', 'United Kingdom', 'Australia']",1
"[Disneyland_Tokyo, Disneyland_Tokyo]","['Disneyland_Paris', 'Disneyland_HongKong']",0
"[missing, 2015-8, 2015-7, 2015-12]","['missing', '2015-8', '2015-7', '2015-12']",1
"['Australia', 'Cambodia', 'Bhutan']","['Turks and Caicos Islands', 'South Sudan', 'Suriname']",0
"[670585330, 670570869, 670443403, 670435886, 670324965]","[670585330, 670570869, 670443403, 670435886, 670324965]",1
"['662641193', '658624005', '649615606', '647822351']","[662641193, 658624005, 649615606, 647822351]",1
"[5, 5, 5, 5, 5, 5]","[5, 5, 5, 5, 5, 5]",1
"[1, 1, 2]","[1, 1, 1]",0
TRUE,FALSE,0
TRUE,TRUE,1
TRUE,TRUE,1
TRUE,TRUE,1
1,1,1
8774.52,8774.520447,1
99994,589793,0
2891,2891,1
Donald J. Trump,Donald J. Trump,1
Big decision will soon be made on our next Justice of the Supreme Court!,Such a beautiful and important evening! The forgotten man and woman will never be forgotten again. We will all come together as never before,0
en,und,0
en,en,1
"['realDonaldTrump', '@HawleyMO', 'DonaldTrump']",['realDonaldTrump'],0
"['es', 'fi']","['pt', 'fi']",0
"['', 'ðix\x8dz\x7f\x00\x00', 'pdx\x8dz\x7f\x00\x00', '°t~¨z\x7f\x00\x00']","['realDonaldTrump', 'FoxNews', 'CNN', 'foxandfriends']",0
"['The Democrats', 'The Fake News', '@NewsChannel8']",['Donald J. Trump'],0
"['597889563831496704', '712729040352882690', '847867380562894848', '781111479974199296', '857726884045496325']","[881503147168071680, 795954831718498305, 929511061954297857, 796315640307060738, 948355557022420992]",0
"['588786441589253888', '588786441589253888', '588786441589253888', '588786441589253888']","[591222909626114050, 591412084895838208, 586751374286721024, 575589231160127489]",0
"[99994, 99968, 99940, 99910, 999, 9989]","[589793, 589750, 557779, 539249, 476457, 376626]",0
"[0, 0, 0]","[1, 1, 2]",0
TRUE,FALSE,0
FALSE,TRUE,0
,TRUE,0
,TRUE,0
9,9,1
0.088480333,0.088480333,1
99.5,770.5,0
651,651,1
David McCandless,Christophe Viau,0
Mike Bostock,Mike Bostock,1
https://storage.googleapis.com/pics.contexto.io/photos/paperclips/000/016/267/thumb/qb5m7mnzb26cavmpxjqi_normal.jpeg?1517501905,https://storage.googleapis.com/pics.contexto.io/photos/paperclips/000/016/457/thumb/Saw-whet_Owl_10_normal.jpg?1517502050,1
Topi Tjukanov,The Gibson Project,0
"['Manuel Herranz', 'Alex Pentland', 'Jemima Kiss']","['Lynn Cherny', 'Alberto Cairo', 'Sinan Aral']",0
"[New Options Project, LIFE]","['LIFE', 'New Options Project']",1
"['nytlabs', 'DataSift', 'Duke Lib Data Vis', 'Cole Nussbaumer']","['Detective.io', 'The Thrust', 'Open Budgets', 'NewsFuturist']",0
"[Jessica Marie, Right Relevance, CJR]","['digital PR cat', 'Ismail Onur Filiz', 'Dave Golland']",0
"[378, 6630, 19589, 35129, 306]","[568, 423, 6392, 4548, 579]",0
"['377', '396', '409', '412']","[177, 240, 294, 369]",0
"[1.0, 0.60297510670348, 0.566670768763793, 0.520234802749139, 0.511060661785853, 0.508118310368457]","[1.0, 0.6029751067034804, 0.5666707687637932, 0.5202348027491394, 0.5110606617858531, 0.5081183103684572]",1
"[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]",0
TRUE,TRUE,1
TRUE,TRUE,1
FALSE,FALSE,1
FALSE,TRUE,0
7,7,1
2.841584158,2.841584158,1
8,8,1
27,27,1
1,1,1
"['octopus', 'scorpion']",octopus,1
7,7,1
"['Box Jellyfish', 'Blue-Ringed Octopus', 'Irukandji Jellyfish', 'Inland Taipan']",frog,0
"['octopus', 'scorpion', 'crayfish']","['octopus', 'scorpion', 'crayfish']",1
"['bass', 'carp']","['bass', 'carp']",1
"['1', '2', '4', '7']","[1, 2, 4, 7]",1
"['5', '3', '6']","[5, 3, 6]",1
"['1', '6', '2', '7', '5']","[1, 6, 2, 7, 5]",1
"['3', '4', '5', '2']","[4, 3, 5, 7]",0
"['4', '2', '0', '6', '8', '5']","[4, 2, 0, 6, 8, 5]",1
"[5, 8, 6]","[5, 8, 6]",1
TRUE,FALSE,0
FALSE,FALSE,1
TRUE,TRUE,1
TRUE,TRUE,1
4070,4070,1
4.611113626,4.611113626,1
992,80995,0
495478,495478,1
United Kingdom,United Kingdom,1
SWEETHEART CREAM STEEL TABLE RECT,Manual,0
WHITE HANGING HEART T-LIGHT HOLDER,"PAPER CRAFT , LITTLE BIRDIE",0
Unspecified,United Kingdom,0
"['WHITE HANGING HEART T-LIGHT HOLDER', 'WOODLAND CHARLOTTE BAG', 'PLASTERS IN TIN SPACEBOY']","['PAPER CRAFT , LITTLE BIRDIE', 'MEDIUM CERAMIC TOP STORAGE JAR', 'ASSTD DESIGN 3D PAPER STICKERS']",0
"['New Year', 'SET OF 3 COLOURED  FLYING DUCKS']","['PAPER CRAFT , LITTLE BIRDIE', 'MEDIUM CERAMIC TOP STORAGE JAR']",0
"['United Kingdom', 'Germany', 'France', 'EIRE']","['United Kingdom', 'Germany', 'France', 'EIRE']",1
"['Indonesia', 'Cambodia', 'Bahrain']","['Saudi Arabia', 'Bahrain', 'Czech Republic']",0
"[574293.0, 537640.0, 576365.0, 536982.0, 555257.0]","['581483', '541431', '578841', '542504', '573008']",0
"['A', 'B', 'C', 'D']","[23843, 21366, 23005, 23005, 84347]",0
"[1, 2, 12, 6, 4, 3]","[1, 2, 12, 6, 4, 3]",1
"[-1000, -103, -105]","[-312, -79, 404]",0
